date,se,browser,hits
2014-03-11,yandex,chrome,24549247.0
2014-03-12,search,chrome,62500946.0
2014-03-12,yandex,chrome,24324744.0
2014-03-13,search,chrome,61439122.0
2014-03-13,yandex,chrome,23922033.0
2014-03-14,search,chrome,59197384.0
2014-03-14,yandex,chrome,22855816.0
2014-03-15,search,chrome,54982949.0
2014-03-15,yandex,chrome,20956388.0
2014-03-16,search,chrome,62113936.0
2014-03-16,yandex,chrome,23853656.0
2014-03-17,search,chrome,65470375.0
2014-03-17,yandex,chrome,25694298.0
2014-03-18,search,chrome,64116072.0
2014-03-18,yandex,chrome,25035478.0
2014-03-19,search,chrome,62819596.0
2014-03-19,yandex,chrome,24471399.0
2014-03-20,search,chrome,62537060.0
2014-03-20,yandex,chrome,24428449.0
2014-03-21,search,chrome,57972612.0
2014-03-21,yandex,chrome,22560240.0
2014-03-22,search,chrome,52341620.0
2014-03-22,yandex,chrome,19928331.0
2014-03-23,search,chrome,55668517.0
2014-03-23,yandex,chrome,21146295.0
2014-03-24,search,chrome,61589113.0
2014-03-24,yandex,chrome,23923585.0
2014-03-25,search,chrome,59764208.0
2014-03-25,yandex,chrome,22993844.0
2014-03-26,search,chrome,60374660.0
2014-03-26,yandex,chrome,23347480.0
2014-03-27,search,chrome,60132770.0
2014-03-27,yandex,chrome,23168128.0
2014-03-28,search,chrome,58315458.0
2014-03-28,yandex,chrome,22441029.0
2014-03-29,search,chrome,54329793.0
2014-03-29,yandex,chrome,20759767.0
2014-03-30,search,chrome,58119652.0
2014-03-30,yandex,chrome,22195059.0
2014-03-31,search,chrome,62985235.0
2014-03-31,yandex,chrome,24738194.0
2014-04-01,search,chrome,57912201.0
2014-04-01,yandex,chrome,22661250.0
2014-04-02,search,chrome,57355732.0
2014-04-02,yandex,chrome,22459033.0
2014-04-03,search,chrome,56398222.0
2014-04-03,yandex,chrome,22192393.0
2014-04-04,search,chrome,54800583.0
2014-04-04,yandex,chrome,21440028.0
2014-04-05,search,chrome,50325477.0
2014-04-05,yandex,chrome,19278642.0
2014-04-06,search,chrome,57885775.0
2014-04-06,yandex,chrome,22161841.0
2014-04-07,search,chrome,63751757.0
2014-04-07,yandex,chrome,24863055.0
2014-04-08,search,chrome,61665253.0
2014-04-08,yandex,chrome,24072184.0
2014-04-09,search,chrome,61128970.0
2014-04-09,yandex,chrome,23967358.0
2014-04-10,search,chrome,60043263.0
2014-04-10,yandex,chrome,23391470.0
2014-04-11,search,chrome,57988903.0
2014-04-11,yandex,chrome,22364227.0
2014-04-12,search,chrome,51465049.0
2014-04-12,yandex,chrome,19485743.0
2014-04-13,search,chrome,58392293.0
2014-04-13,yandex,chrome,22391611.0
2014-04-14,search,chrome,61882000.0
2014-04-14,yandex,chrome,24396080.0
2014-04-15,search,chrome,60144094.0
2014-04-15,yandex,chrome,23602756.0
2014-04-16,search,chrome,57662449.0
2014-04-16,yandex,chrome,22553507.0
2014-04-17,search,chrome,55026719.0
2014-04-17,yandex,chrome,21484604.0
2014-04-18,search,chrome,53029321.0
2014-04-18,yandex,chrome,20509299.0
2014-04-19,search,chrome,43189962.0
2014-04-19,yandex,chrome,16352790.0
2014-04-20,search,chrome,46553523.0
2014-04-20,yandex,chrome,17864375.0
2014-04-21,search,chrome,55018374.0
2014-04-21,yandex,chrome,21702900.0
2014-04-22,search,chrome,55523293.0
2014-04-22,yandex,chrome,21793384.0
2014-04-23,search,chrome,54941519.0
2014-04-23,yandex,chrome,21719063.0
2014-04-24,search,chrome,53915279.0
2014-04-24,yandex,chrome,21469543.0
2014-04-25,search,chrome,51222611.0
2014-04-25,yandex,chrome,20176656.0
2014-04-26,search,chrome,45317959.0
2014-04-26,yandex,chrome,17477512.0
2014-04-27,search,chrome,48689114.0
2014-04-27,yandex,chrome,18829259.0
2014-04-28,search,chrome,54760282.0
2014-04-28,yandex,chrome,21466448.0
2014-04-29,search,chrome,52542565.0
2014-04-29,yandex,chrome,20438445.0
2014-04-30,search,chrome,49260907.0
2014-04-30,yandex,chrome,18968117.0
2014-05-01,search,chrome,40993187.0
2014-05-01,yandex,chrome,15228203.0
2014-05-02,search,chrome,42201165.0
2014-05-02,yandex,chrome,15780194.0
2014-05-03,search,chrome,43932414.0
2014-05-03,yandex,chrome,16645698.0
2014-05-04,search,chrome,49484946.0
2014-05-04,yandex,chrome,18992530.0
2014-05-05,search,chrome,56089182.0
2014-05-05,yandex,chrome,22237235.0
2014-05-06,search,chrome,55537331.0
2014-05-06,yandex,chrome,22022586.0
2014-05-07,search,chrome,53366032.0
2014-05-07,yandex,chrome,21128614.0
2014-05-08,search,chrome,48462275.0
2014-05-08,yandex,chrome,18752208.0
2014-05-09,search,chrome,39638221.0
2014-05-09,yandex,chrome,14736741.0
2014-05-10,search,chrome,43244894.0
2014-05-10,yandex,chrome,16252799.0
2014-05-11,search,chrome,50220656.0
2014-05-11,yandex,chrome,19480250.0
2014-05-12,search,chrome,54960534.0
2014-05-12,yandex,chrome,21376987.0
2014-05-13,search,chrome,53465850.0
2014-05-13,yandex,chrome,21050504.0
2014-05-14,search,chrome,52655950.0
2014-05-14,yandex,chrome,20487977.0
2014-05-15,search,chrome,51840197.0
2014-05-15,yandex,chrome,19988901.0
2014-05-16,search,chrome,47729750.0
2014-05-16,yandex,chrome,18234711.0
2014-05-17,search,chrome,41290884.0
2014-05-17,yandex,chrome,15426745.0
2014-05-18,search,chrome,47127332.0
2014-05-18,yandex,chrome,17823451.0
2014-05-19,search,chrome,54507284.0
2014-05-19,yandex,chrome,21252041.0
2014-05-20,search,chrome,52914032.0
2014-05-20,yandex,chrome,20585515.0
2014-05-21,search,chrome,51145934.0
2014-05-21,yandex,chrome,19863707.0
2014-05-22,search,chrome,50763345.0
